sampleID	genepop_pop	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
23-12198,	23-07451,	Pelee_Island	71	-0.005189455023854352	-0.06824841162012042	-0.08328785374832258	-0.05185768431715577	0.03867599077307942	-0.05949253695654771	0.03383843297873243	-0.11742419781230927	-0.0031408607694066726
23-12199,	23-07451,	Pelee_Island	72	0.04274008250330782	0.06013883421028082	0.043276204037276916	-0.056318107584595795	0.05299140413112771	0.02338277108951908	-0.044373107939071996	0.006850910700567543	0.04326075427566261
23-12200,	23-07451,	Pelee_Island	73	0.001080756325064545	0.007280962950324042	0.01302976170725287	0.04822615668088465	-0.051967620797472996	0.05102832727309634	0.008896893760504019	0.02506360147798787	-0.04008494937350296
23-12101,	23-12101,	Maumee_Bay	74	-0.1009079445182534	-0.1312068348924403	-0.08504113300306707	-0.012175380469145276	0.021740375559272225	-0.005609469779491681	0.03871680804650149	0.10310711100804049	0.03160762833636092
23-12102,	23-12101,	Maumee_Bay	75	0.013672414585595021	-0.10845586124177842	-0.020381243642877654	-0.0098448530401165	-0.061993007564585846	0.02229764036843481	0.024697006155082524	0.014620752541971586	0.029089770061610416
23-12103,	23-12101,	Maumee_Bay	76	-0.01968001511495422	0.0043629061032563555	-0.05488092201848574	-0.09122208481128127	-0.08200304125413788	-0.09129352127986905	0.0061070473172801865	0.059746467413936216	0.0158921754392971
23-12104,	23-12101,	Maumee_Bay	77	-0.00256195153717406	0.00784916428637405	-0.054504226451833906	0.03258918023141956	-0.052981478102288516	-0.015687674903768475	-0.08456295016713686	0.08605220611400871	0.08493811298720963
23-12105,	23-12101,	Maumee_Bay	78	0.04407171996996164	0.08178816332344388	-0.003792198247141311	0.0653712011800269	0.03932616745235015	-0.02769455507032258	-0.029539883414667754	0.009675958247351738	0.1159427564430134
23-12106,	23-12101,	Maumee_Bay	79	-0.0208205025949788	0.006925458392147905	-0.07473272030983102	-0.006106088777936806	-0.013388618977685089	-0.10722095646086689	0.023727109139940746	-0.015917438041289603	-0.00510109262185547
23-12107,	23-12101,	Maumee_Bay	80	0.021474722223286016	0.10059833976405606	-0.022397879584992793	-0.007981772475770237	0.054028286640999394	0.012524961403046297	-0.002230064751784161	7.809842410987054e-4	-0.005878022441940497
23-12108,	23-12101,	Maumee_Bay	81	-0.03479822629962513	0.05029939685957519	-0.03529223293254138	0.09991309155783928	-0.013949757618421212	-0.1001991965395607	0.08587156111044225	-0.057663173964503815	0.02694929595166035
23-12109,	23-12101,	Maumee_Bay	82	0.07562949581322251	-0.054329166262928975	0.067016702480654	-0.04283824162059176	-0.03596475708481252	0.014277261348259483	0.004163367788788971	0.07818498230696169	0.04319436946598103
23-12110,	23-12101,	Maumee_Bay	83	-0.06373746144833389	-0.03163036588313759	-0.027028964176418677	-0.0100964939065624	0.021160391012938876	-0.06228900086751448	0.08756037516516008	-0.0027095095323719457	0.06629867538391859
23-12111,	23-12101,	Maumee_Bay	84	-4.349452328992487e-4	-0.007431254632003823	-0.09379003639108817	-0.0634286351571875	0.05027095489688448	-0.12454045527729912	0.02645604846440454	0.07812973391295448	-0.07073818899066688
